Protein,Protein Name,Gene Name,Function,ProteinGroup,FastaHeaders,Proteins,Peptides,RazorUniquePeptides,UniquePeptides,Coverage,MolWeight,LFQ intensity C-1,LFQ intensity C-2,LFQ intensity C-3,LFQ intensity T-1,LFQ intensity T-2,LFQ intensity T-3,Identified or Quantified
A0A140VJI8,"EF-hand domain family, member D2, isoform CRA_a",EFHD2,,A0A140VJI8;A0A024QZ77;Q96C19;H0Y4Y4;Q53SA2;Q7Z2R5;B4DEE0;A0A087X1Z2;A0A024R493;Q59EU6;Q9BUP0;C9JTV4;Q8WYH2,"A0A140VJI8_HUMAN EF-hand domain family, member D2, isoform CRA_a OS=Homo sapiens OX=9606 GN=EFHD2 PE=4 SV=1;A0A024QZ77_HUMAN Testicular tissue protein Li 62 OS=Homo sapiens OX=9606 PE=2 SV=1;EFHD2_HUMAN EF-hand domain-containing protein D2 OS=Homo sapiens ",13,9,9,9,34.6,26.697,672970000,695410000,808080000,685160000,642910000,572600000,Quantified
F8VUA6,60S ribosomal protein L18 (Fragment),RPL18,,F8VUA6;Q0QEW2;G3V203;H0YHA7;A0A024QZD1;J3QQ67;Q07020;F8VYV2;B4DDY5;A0A075B7A0,F8VUA6_HUMAN 60S ribosomal protein L18 (Fragment) OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1;Q0QEW2_HUMAN Ribosomal protein L18 (Fragment) OS=Homo sapiens OX=9606 GN=RPL18 PE=2 SV=1;G3V203_HUMAN 60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE,10,2,2,2,20,14.529,,7461200,9014600,8472900,7750800,11908000,Quantified
B4DG62,"cDNA FLJ56506, highly similar to Hexokinase-1",,,B4DG62;A8K7J7;A0A024QZK7;Q59FD4;B3KXY9;P19367;B3KRA9;Q53QX9;Q68E10;E9PB90;A8K2U2;P52789,"B4DG62_HUMAN cDNA FLJ56506, highly similar to Hexokinase-1 OS=Homo sapiens OX=9606 PE=2 SV=1;A8K7J7_HUMAN cDNA FLJ78173, highly similar to Homo sapiens hexokinase 1 (HK1) mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZK7_HUMAN Hexokinase 1, isoform CRA_c O",12,3,2,2,3.7,102.31,12321000,,,11315000,,,Identified
A0A024QZP1,"Heterogeneous nuclear ribonucleoprotein H3 (2H9), isoform CRA_b",HNRPH3,,A0A024QZP1;B4DHY1;Q53F48;A0A024QZK8;P31942,"A0A024QZP1_HUMAN Heterogeneous nuclear ribonucleoprotein H3 (2H9), isoform CRA_b OS=Homo sapiens OX=9606 GN=HNRPH3 PE=4 SV=1;B4DHY1_HUMAN cDNA FLJ57726, highly similar to Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 PE=2 SV=1;Q53F48_H",5,1,1,1,6.5,22.322,,,,,,,Identified
G5EA31,Protein transport protein Sec24C,SEC24C,,G5EA31;A0A024QZM6;P53992;B4DSN3,"G5EA31_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=1;A0A024QZM6_HUMAN SEC24 related gene family, member C (S. cerevisiae), isoform CRA_a OS=Homo sapiens OX=9606 GN=SEC24C PE=4 SV=1;SC24C_HUMAN Protein transport protein ",4,2,2,2,3.3,111.98,11795000,8160100,10756000,11983000,14134000,12171000,Quantified
A0A384NYN5,Epididymis secretory sperm binding protein,,,A0A384NYN5;A0A024QZN4;V9HWK2;P18206;B3KXA2;B4E3Q9;B4DKC9;B4DTM7,"A0A384NYN5_HUMAN Epididymis secretory sperm binding protein OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZN4_HUMAN Vinculin, isoform CRA_c OS=Homo sapiens OX=9606 GN=VCL PE=4 SV=1;V9HWK2_HUMAN Epididymis luminal protein 114 OS=Homo sapiens OX=9606 GN=HEL114 PE",8,7,7,7,11.2,116.74,12697000,12662000,8692400,10263000,10975000,12676000,Quantified
Q53FJ5,Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy) variant (Fragment),,,Q53FJ5;A0A024QZQ2;C9JIZ6;Q59EN5;P07602;Q5BJH1;B4DRB7;B4DEK5,"Q53FJ5_HUMAN Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy) variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZQ2_HUMAN Prosaposin (Variant Gaucher disease and variant metachromatic leukodystrophy), isoform CRA_b OS",8,8,8,8,15.1,58.14,4128900000,6503300000,6368100000,3428600000,5184100000,5176700000,Quantified
B3KR38,"cDNA FLJ33624 fis, clone BRAMY2021962, highly similar to Homo sapiens diacylglycerol lipase beta",,,B3KR38;A0A024QZX9;B4DQQ6;E7ET49;Q8NCG7,"B3KR38_HUMAN cDNA FLJ33624 fis, clone BRAMY2021962, highly similar to Homo sapiens diacylglycerol lipase beta OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024QZX9_HUMAN KCCR13L, isoform CRA_a OS=Homo sapiens OX=9606 GN=LOC221955 PE=4 SV=1;B4DQQ6_HUMAN cDNA FLJ5622",5,1,1,1,8.3,24.13,,,,,,,Identified
Q0D2M2,HIST1H2BC protein,HIST1H2BC,,Q0D2M2;B2R4S9;A8K9J7;A0A024RCL8;A0A024RCJ9;A0A024QZZ7;I6L9F7;U3KQK0;B4DR52;Q99879;Q99877;Q93079;Q5QNW6;P62807;P58876;P57053;O60814;Q99880;Q96A08;L0R4T3;A0A2R8Y619,Q0D2M2_HUMAN HIST1H2BC protein OS=Homo sapiens OX=9606 GN=HIST1H2BC PE=2 SV=1;B2R4S9_HUMAN Histone H2B OS=Homo sapiens OX=9606 GN=HIST1H2BC PE=2 SV=1;A8K9J7_HUMAN Histone H2B OS=Homo sapiens OX=9606 PE=2 SV=1;A0A024RCL8_HUMAN Histone H2B OS=Homo sapiens OX,21,6,6,2,41.3,13.834,4672800000,3387400000,4014800000,4416400000,4356000000,3777100000,Quantified
A3KPC7,Histone H2A,HIST1H2AH,,A3KPC7;A0A024RAS2;Q08AJ9;B2R5B3;A4FTV9;A0A024R017;A0A0U1RR32;A0A0U1RRH7;Q99878;Q96KK5;Q9BTM1;Q16777;Q93077;Q7L7L0;Q6FI13;P20671;P0C0S8;P04908;H0YFX9;B4E0B3;B2R5B6;A0A3B3IS11;Q96QV6;Q8IUE6;V9GZN0;A2RUA4;REV__H0Y672;REV__Q6N028;REV__E7EQ67;REV__Q6ZS45;REV__Q7Z5E6;REV__H7BY63;REV__H0YBA5;REV__A0A087X2A7;REV__Q6P9G8;REV__Q8NB25,A3KPC7_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=HIST1H2AH PE=2 SV=1;A0A024RAS2_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=H2AFJ PE=3 SV=1;Q08AJ9_HUMAN Histone H2A OS=Homo sapiens OX=9606 GN=HIST1H2AB PE=2 SV=1;B2R5B3_HUMAN Histone H2A OS=Homo sapiens,36,4,4,1,32.8,13.906,1866800000,999610000,1439800000,1294000000,1488500000,1244400000,Quantified
B2R6K4,"cDNA, FLJ92996, highly similar to Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1 (GNB1), mRNA",,,B2R6K4;A0A2L0WW42;A0A140VJJ8;A0A024R056;P62873;Q71UM6;B3KVK2;E7EP32;B1AKQ8;Q71UM7;F6X3N5;F6UT28;B4DLV5,"B2R6K4_HUMAN cDNA, FLJ92996, highly similar to Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1 (GNB1), mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;A0A2L0WW42_HUMAN G protein subunit beta 1 OS=Homo sapiens OX=9606 GN=GNB1 PE=4 SV=",13,5,5,2,20,37.301,77087000,52427000,80402000,14580000,69863000,48998000,Quantified
B4DE96,"cDNA FLJ53762, highly similar to Synaptobrevin-like protein 1",,,B4DE96;B4DIH9;B2R6P4;A0A024R061;A0A024R074;P51809;B4DMB4,"B4DE96_HUMAN cDNA FLJ53762, highly similar to Synaptobrevin-like protein 1 OS=Homo sapiens OX=9606 PE=2 SV=1;B4DIH9_HUMAN cDNA FLJ53045, highly similar to Synaptobrevin-like protein 1 OS=Homo sapiens OX=9606 PE=2 SV=1;B2R6P4_HUMAN cDNA, FLJ93048, highly si",7,2,2,2,13.7,17.379,9400000,10508000,9831300,12416000,12050000,7934400,Quantified
A0A5F9UP49,45 kDa calcium-binding protein,SDF4,,A0A5F9UP49;A0A024R084;Q9BRK5,"A0A5F9UP49_HUMAN 45 kDa calcium-binding protein OS=Homo sapiens OX=9606 GN=SDF4 PE=4 SV=1;A0A024R084_HUMAN Stromal cell derived factor 4, isoform CRA_c OS=Homo sapiens OX=9606 GN=SDF4 PE=4 SV=1;CAB45_HUMAN 45 kDa calcium-binding protein OS=Homo sapiens OX=",3,1,1,1,2.5,40.936,23652000,38109000,43570000,35003000,35179000,32341000,Quantified
E9PKP4,Macrophage colony-stimulating factor 1 (Fragment),CSF1,,E9PKP4;F6MF51;E9PJA2;B4DTX0;Q59H07;A0A024R0A1;P09603,E9PKP4_HUMAN Macrophage colony-stimulating factor 1 (Fragment) OS=Homo sapiens OX=9606 GN=CSF1 PE=1 SV=1;F6MF51_HUMAN Macrophage colony-stimulating factor 1 (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;E9PJA2_HUMAN Macrophage colony-stimulating factor 1 (F,7,1,1,1,10.6,13.253,,,,,,1125600,Identified
A0A024R0Q4,"Phospholipase D family, member 3, isoform CRA_b",PLD3,,A0A024R0Q4;Q8IV08;B4DEL6,"A0A024R0Q4_HUMAN Phospholipase D family, member 3, isoform CRA_b OS=Homo sapiens OX=9606 GN=PLD3 PE=4 SV=1;PLD3_HUMAN 5-3 exonuclease PLD3 OS=Homo sapiens OX=9606 GN=PLD3 PE=1 SV=1;B4DEL6_HUMAN cDNA FLJ59669, highly similar to Homo sapiens phospholipase ",3,3,3,3,6.5,54.705,30322000,31880000,42248000,28498000,15662000,16418000,Quantified
A0A590UK93,SUMO-activating enzyme subunit 1,SAE1,,A0A590UK93;A0A590UKC5;B3KNJ4;A0A024R0R4;Q9UBE0;M0R054;M0QX65;M0QZS6;M0R375;M0R286;A0A590UKA0;M0QYM8;B4DY66,"A0A590UK93_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;A0A590UKC5_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;B3KNJ4_HUMAN SUMO-1 activating enzyme subunit 1, isoform CRA_a OS=Homo s",13,3,3,3,18.1,23.247,21000000,16499000,23433000,16931000,15594000,14410000,Quantified
M0R2M1,Alpha-soluble NSF attachment protein (Fragment),NAPA,,M0R2M1;A0A024R0R9;P54920;M0R0I4;M0R0Y2;M0QZM9;M0QZN5;M0R031;M0R213;M0R058,"M0R2M1_HUMAN Alpha-soluble NSF attachment protein (Fragment) OS=Homo sapiens OX=9606 GN=NAPA PE=1 SV=1;A0A024R0R9_HUMAN N-ethylmaleimide-sensitive factor attachment protein, alpha, isoform CRA_c OS=Homo sapiens OX=9606 GN=NAPA PE=4 SV=1;SNAA_HUMAN Alpha-so",10,3,3,3,14.9,29.832,7927900,,,4986800,7475700,6844400,Quantified
A0A0S2Z4I7,Vasodilator-stimulated phosphoprotein isoform 4 (Fragment),VASP,,A0A0S2Z4I7;A0A0S2Z4I9;A0A0S2Z4N8;A0A024R0V4;P50552;K7ENL7;A0A0S2Z4H6;K7EM16,A0A0S2Z4I7_HUMAN Vasodilator-stimulated phosphoprotein isoform 4 (Fragment) OS=Homo sapiens OX=9606 GN=VASP PE=2 SV=1;A0A0S2Z4I9_HUMAN Vasodilator-stimulated phosphoprotein isoform 3 (Fragment) OS=Homo sapiens OX=9606 GN=VASP PE=2 SV=1;A0A0S2Z4N8_HUMAN Vas,8,3,3,3,12.8,31.669,63836000,29415000,46168000,57321000,55245000,36032000,Quantified
A0A024R3Q0,"ADP-ribosylation factor 1, isoform CRA_a",ARF1,,A0A024R3Q0;A0A024R0Y6;P84077;P61204;F5H423;B4E190;B4DN70;B4DEB9;F5H0C7;C9J1Z8;B4DJC8;A4D0Z3;B4DLJ3;P84085;C9JPM4;P18085;F5H1V1;F5H6T5;F8WDB3;H0YGG7;C9JAK5,"A0A024R3Q0_HUMAN ADP-ribosylation factor 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=ARF1 PE=4 SV=1;A0A024R0Y6_HUMAN ADP-ribosylation factor 3, isoform CRA_b OS=Homo sapiens OX=9606 GN=ARF3 PE=3 SV=1;ARF1_HUMAN ADP-ribosylation factor 1 OS=Homo sapiens OX=",21,6,6,6,42,20.697,87369000,80277000,82794000,99105000,101550000,84840000,Quantified
F2Z3J9,Prostaglandin reductase 1,PTGR1,,F2Z3J9;A0A024R172;Q14914,"F2Z3J9_HUMAN Prostaglandin reductase 1 OS=Homo sapiens OX=9606 GN=PTGR1 PE=1 SV=3;A0A024R172_HUMAN Leukotriene B4 12-hydroxydehydrogenase, isoform CRA_a OS=Homo sapiens OX=9606 GN=LTB4DH PE=4 SV=1;PTGR1_HUMAN Prostaglandin reductase 1 OS=Homo sapiens OX=96",3,1,1,1,7.7,32.729,12927000,81548000,155150000,28559000,66792000,45259000,Quantified
